Time (s),Raw Conductance (uS),Filtered Conductance (uS),Tonic Baseline (uS),Phasic Response (uS),IsPeak,PeakAmplitude,PeakLabel,Latitude,Longitude
44.555,10.7957,10.7957,9.1931,1.6026,0,,"",,
44.655,10.7250,10.7250,9.1874,1.5376,0,,"",,
44.756,10.6604,10.6604,9.1820,1.4784,0,,"",,
44.856,10.5918,10.5918,9.1769,1.4149,0,,"",,
44.956,10.5251,10.5251,9.1720,1.3531,0,,"",,
45.056,10.4633,10.4633,9.1673,1.2960,0,,"",,
45.156,10.4131,10.4131,9.1629,1.2502,0,,"",,
45.256,10.3653,10.3653,9.1588,1.2065,0,,"",,
45.356,10.3185,10.3185,9.1549,1.1636,0,,"",,
45.456,10.2759,10.2759,9.1513,1.1246,0,,"",,
45.557,10.2236,10.2236,9.1479,1.0757,0,,"",,
45.657,10.1636,10.1636,9.1448,1.0188,0,,"",,
45.757,10.1089,10.1089,9.1420,0.9669,0,,"",,
45.857,10.0570,10.0570,9.1395,0.9175,0,,"",,
45.957,10.0057,10.0057,9.1372,0.8685,0,,"",,
46.057,9.9505,9.9505,9.1352,0.8153,0,,"",,
46.157,9.8990,9.8990,9.1335,0.7655,0,,"",,
46.257,9.8478,9.8478,9.1321,0.7157,0,,"",,
46.358,9.7915,9.7915,9.1310,0.6605,0,,"",,
46.458,9.7369,9.7369,9.1301,0.6068,0,,"",,
46.558,9.6914,9.6914,9.1296,0.5618,0,,"",,
46.658,9.6588,9.6588,9.1294,0.5294,0,,"",,
46.758,9.6275,9.6275,9.1294,0.4981,0,,"",,
46.858,9.5948,9.5948,9.1298,0.4650,0,,"",,
46.958,9.5611,9.5611,9.1306,0.4305,0,,"",,
47.058,9.5223,9.5223,9.1316,0.3907,0,,"",,
47.159,9.5028,9.5028,9.1329,0.3699,0,,"",,
47.259,9.4850,9.4850,9.1346,0.3504,0,,"",,
47.359,9.4673,9.4673,9.1366,0.3307,0,,"",,
47.459,9.4712,9.4712,9.1389,0.3323,0,,"",,
47.559,9.4901,9.4901,9.1416,0.3485,0,,"",,
47.659,9.5259,9.5259,9.1446,0.3813,0,,"",,
47.759,9.5762,9.5762,9.1479,0.4283,0,,"",,
47.859,9.6520,9.6520,9.1515,0.5005,0,,"",,
47.960,9.7496,9.7496,9.1553,0.5943,0,,"",,
48.060,9.8694,9.8694,9.1594,0.7100,0,,"",,
48.160,9.9934,9.9934,9.1636,0.8298,0,,"",,
48.260,10.1188,10.1188,9.1679,0.9509,0,,"",,
48.360,10.2396,10.2396,9.1720,1.0676,0,,"",,
48.460,10.3244,10.3244,9.1758,1.1486,0,,"",,
48.560,10.3941,10.3941,9.1793,1.2148,0,,"",,
48.660,10.4624,10.4624,9.1826,1.2798,0,,"",,
48.761,10.5156,10.5156,9.1856,1.3300,0,,"",,
48.861,10.5491,10.5491,9.1884,1.3607,0,,"",,
48.961,10.5638,10.5638,9.1909,1.3729,1,1.0422,"",,
49.061,10.5622,10.5622,9.1932,1.3690,0,,"",,
49.161,10.5324,10.5324,9.1951,1.3373,0,,"",,
49.261,10.4801,10.4801,9.1969,1.2832,0,,"",,
49.361,10.4289,10.4289,9.1983,1.2306,0,,"",,
49.461,10.3798,10.3798,9.1995,1.1803,0,,"",,
49.562,10.3232,10.3232,9.2004,1.1228,0,,"",,
49.662,10.2638,10.2638,9.2011,1.0627,0,,"",,
49.762,10.2050,10.2050,9.2015,1.0035,0,,"",,
49.862,10.1349,10.1349,9.2016,0.9333,0,,"",,
49.962,10.0583,10.0583,9.2014,0.8569,0,,"",,
50.062,9.9867,9.9867,9.2010,0.7857,0,,"",,
50.162,9.9305,9.9305,9.2002,0.7303,0,,"",,
50.262,9.8795,9.8795,9.1992,0.6803,0,,"",,
50.363,9.8387,9.8387,9.1979,0.6408,0,,"",,
50.463,9.8099,9.8099,9.1963,0.6136,0,,"",,
50.563,9.7815,9.7815,9.1944,0.5871,0,,"",,
50.663,9.7480,9.7480,9.1922,0.5558,0,,"",,
50.763,9.7269,9.7269,9.1897,0.5372,0,,"",,
50.863,9.7217,9.7217,9.1869,0.5348,0,,"",,
50.963,9.7185,9.7185,9.1838,0.5347,0,,"",,
51.063,9.7155,9.7155,9.1804,0.5351,0,,"",,
51.164,9.7127,9.7127,9.1766,0.5361,0,,"",,
51.264,9.7019,9.7019,9.1726,0.5293,0,,"",,
51.364,9.6795,9.6795,9.1682,0.5113,0,,"",,
51.464,9.6563,9.6563,9.1634,0.4929,0,,"",,
51.564,9.6366,9.6366,9.1583,0.4783,0,,"",,
51.664,9.6168,9.6168,9.1529,0.4639,0,,"",,
51.764,9.5975,9.5975,9.1472,0.4503,0,,"",,
51.864,9.5794,9.5794,9.1411,0.4383,0,,"",,
51.965,9.5576,9.5576,9.1347,0.4229,0,,"",,
52.065,9.5195,9.5195,9.1281,0.3914,0,,"",,
52.165,9.4787,9.4787,9.1212,0.3575,0,,"",,
52.265,9.4467,9.4467,9.1140,0.3327,0,,"",,
52.365,9.4180,9.4180,9.1068,0.3112,0,,"",,
52.465,9.3926,9.3926,9.0995,0.2931,0,,"",,
52.565,9.3718,9.3718,9.0922,0.2796,0,,"",,
52.665,9.3529,9.3529,9.0849,0.2680,0,,"",,
52.766,9.3354,9.3354,9.0776,0.2578,0,,"",,
52.866,9.3304,9.3304,9.0704,0.2600,0,,"",,
52.966,9.3487,9.3487,9.0632,0.2855,0,,"",,
53.066,9.3932,9.3932,9.0560,0.3372,0,,"",,
53.166,9.4615,9.4615,9.0487,0.4128,0,,"",,
53.266,9.5518,9.5518,9.0415,0.5103,0,,"",,
53.366,9.6488,9.6488,9.0343,0.6145,0,,"",,
53.466,9.7329,9.7329,9.0271,0.7058,0,,"",,
53.567,9.8050,9.8050,9.0199,0.7851,0,,"",,
53.667,9.8739,9.8739,9.0126,0.8613,0,,"",,
53.767,9.9289,9.9289,9.0054,0.9235,0,,"",,
53.867,9.9661,9.9661,8.9981,0.9680,0,,"",,
53.967,9.9843,9.9843,8.9908,0.9935,0,,"",,
54.067,9.9857,9.9857,8.9835,1.0022,1,0.7445,"",,
54.167,9.9634,9.9634,8.9761,0.9873,0,,"",,
54.267,9.9262,9.9262,8.9687,0.9575,0,,"",,
54.368,9.8907,9.8907,8.9613,0.9294,0,,"",,
54.468,9.8481,9.8481,8.9538,0.8943,0,,"",,
54.568,9.7991,9.7991,8.9463,0.8528,0,,"",,
54.668,9.7496,9.7496,8.9388,0.8108,0,,"",,
54.768,9.6977,9.6977,8.9312,0.7665,0,,"",,
54.868,9.6308,9.6308,8.9236,0.7072,0,,"",,
54.968,9.5657,9.5657,8.9159,0.6498,0,,"",,
55.068,9.5094,9.5094,8.9082,0.6012,0,,"",,
55.169,9.4581,9.4581,8.9005,0.5576,0,,"",,
55.269,9.4108,9.4108,8.8927,0.5181,0,,"",,
55.369,9.3711,9.3711,8.8848,0.4863,0,,"",,
55.469,9.3316,9.3316,8.8770,0.4546,0,,"",,
55.569,9.2856,9.2856,8.8691,0.4165,0,,"",,
55.669,9.2381,9.2381,8.8611,0.3770,0,,"",,
55.769,9.2006,9.2006,8.8531,0.3475,0,,"",,
55.869,9.1691,9.1691,8.8451,0.3240,0,,"",,
55.970,9.1415,9.1415,8.8370,0.3045,0,,"",,
56.070,9.1174,9.1174,8.8289,0.2885,0,,"",,
56.170,9.0943,9.0943,8.8207,0.2736,0,,"",,
56.270,9.0623,9.0623,8.8125,0.2498,0,,"",,
56.370,9.0286,9.0286,8.8041,0.2245,0,,"",,
56.470,9.0012,9.0012,8.7958,0.2054,0,,"",,
56.570,8.9762,8.9762,8.7873,0.1889,0,,"",,
56.670,8.9529,8.9529,8.7788,0.1741,0,,"",,
56.771,8.9339,8.9339,8.7703,0.1636,0,,"",,
56.871,8.9164,8.9164,8.7616,0.1548,0,,"",,
56.971,8.8927,8.8927,8.7529,0.1398,0,,"",,
57.071,8.8670,8.8670,8.7442,0.1228,0,,"",,
57.171,8.8498,8.8498,8.7354,0.1144,0,,"",,
57.271,8.8349,8.8349,8.7266,0.1083,0,,"",,
57.371,8.8201,8.8201,8.7177,0.1024,0,,"",,
57.471,8.8080,8.8080,8.7088,0.0992,0,,"",,
57.572,8.7943,8.7943,8.6999,0.0944,0,,"",,
57.672,8.7717,8.7717,8.6910,0.0807,0,,"",,
57.772,8.7474,8.7474,8.6820,0.0654,0,,"",,
57.872,8.7298,8.7298,8.6730,0.0568,0,,"",,
57.972,8.7138,8.7138,8.6640,0.0498,0,,"",,
58.072,8.6988,8.6988,8.6550,0.0438,0,,"",,
58.172,8.6866,8.6866,8.6460,0.0406,0,,"",,
58.272,8.6712,8.6712,8.6370,0.0342,0,,"",,
58.373,8.6479,8.6479,8.6280,0.0199,0,,"",,
58.473,8.6257,8.6257,8.6191,0.0066,0,,"",,
58.573,8.6108,8.6108,8.6101,0.0007,0,,"",,
58.673,8.6012,8.6012,8.6012,0.0000,0,,"",,
58.773,8.5997,8.5997,8.5923,0.0074,0,,"",,
58.873,8.6096,8.6096,8.5834,0.0262,0,,"",,
58.973,8.6268,8.6268,8.5746,0.0522,0,,"",,
59.073,8.6500,8.6500,8.5658,0.0842,0,,"",,
59.174,8.6887,8.6887,8.5570,0.1317,0,,"",,
59.274,8.7428,8.7428,8.5483,0.1945,0,,"",,
59.374,8.8021,8.8021,8.5396,0.2625,0,,"",,
59.474,8.8657,8.8657,8.5310,0.3347,0,,"",,
59.574,8.9298,8.9298,8.5225,0.4073,0,,"",,
59.674,8.9824,8.9824,8.5140,0.4684,0,,"",,
59.774,9.0209,9.0209,8.5056,0.5153,0,,"",,
59.874,9.0615,9.0615,8.4973,0.5642,0,,"",,
59.975,9.1054,9.1054,8.4890,0.6164,0,,"",,
60.075,9.1492,9.1492,8.4808,0.6684,0,,"",,
60.175,9.1904,9.1904,8.4728,0.7176,0,,"",,
60.275,9.2271,9.2271,8.4648,0.7623,0,,"",,
60.375,9.2528,9.2528,8.4569,0.7959,0,,"",,
60.475,9.2638,9.2638,8.4491,0.8147,0,,"",,
60.575,9.2730,9.2730,8.4414,0.8316,0,,"",,
60.675,9.2856,9.2856,8.4338,0.8518,0,,"",,
60.775,9.2933,9.2933,8.4263,0.8670,0,,"",,
60.876,9.2973,9.2973,8.4189,0.8784,0,,"",,
60.976,9.2975,9.2975,8.4117,0.8858,0,,"",,
61.076,9.2905,9.2905,8.4047,0.8858,1,0.8858,"",,
61.176,9.2700,9.2700,8.3978,0.8722,0,,"",,
61.276,9.2478,9.2478,8.3912,0.8566,0,,"",,
61.376,9.2399,9.2399,8.3849,0.8550,0,,"",,
61.476,9.2428,9.2428,8.3788,0.8640,0,,"",,
61.576,9.2617,9.2617,8.3732,0.8885,0,,"",,
61.677,9.2978,9.2978,8.3679,0.9299,0,,"",,
61.777,9.3419,9.3419,8.3630,0.9789,0,,"",,
61.877,9.3796,9.3796,8.3584,1.0212,0,,"",,
61.977,9.4045,9.4045,8.3541,1.0504,0,,"",,
62.077,9.4295,9.4295,8.3502,1.0793,0,,"",,
62.177,9.4533,9.4533,8.3467,1.1066,0,,"",,
62.277,9.4740,9.4740,8.3435,1.1305,0,,"",,
62.377,9.4954,9.4954,8.3406,1.1548,0,,"",,
62.478,9.5116,9.5116,8.3381,1.1735,0,,"",,
62.578,9.5209,9.5209,8.3359,1.1850,1,0.3299,"",,
62.678,9.5155,9.5155,8.3341,1.1814,0,,"",,
62.778,9.4982,9.4982,8.3325,1.1657,0,,"",,
62.878,9.4818,9.4818,8.3314,1.1504,0,,"",,
62.978,9.4637,9.4637,8.3305,1.1332,0,,"",,
63.078,9.4404,9.4404,8.3300,1.1104,0,,"",,
63.178,9.4125,9.4125,8.3297,1.0828,0,,"",,
63.279,9.3795,9.3795,8.3298,1.0497,0,,"",,
63.379,9.3400,9.3400,8.3302,1.0098,0,,"",,
63.479,9.2914,9.2914,8.3309,0.9605,0,,"",,
63.579,9.2398,9.2398,8.3319,0.9079,0,,"",,
63.679,9.1978,9.1978,8.3332,0.8646,0,,"",,
63.779,9.1577,9.1577,8.3348,0.8229,0,,"",,
63.879,9.1176,9.1176,8.3367,0.7809,0,,"",,
63.979,9.0836,9.0836,8.3389,0.7447,0,,"",,
64.080,9.0488,9.0488,8.3414,0.7074,0,,"",,
64.180,9.0104,9.0104,8.3442,0.6662,0,,"",,
64.280,8.9689,8.9689,8.3472,0.6217,0,,"",,
64.380,8.9359,8.9359,8.3505,0.5854,0,,"",,
64.480,8.9153,8.9153,8.3541,0.5612,0,,"",,
64.580,8.8992,8.8992,8.3580,0.5412,0,,"",,
64.680,8.8881,8.8881,8.3621,0.5260,0,,"",,
64.780,8.8796,8.8796,8.3664,0.5132,0,,"",,
64.881,8.8697,8.8697,8.3711,0.4986,0,,"",,
64.981,8.8516,8.8516,8.3759,0.4757,0,,"",,
65.081,8.8283,8.8283,8.3809,0.4474,0,,"",,
65.181,8.8093,8.8093,8.3861,0.4232,0,,"",,
65.281,8.7909,8.7909,8.3914,0.3995,0,,"",,
65.381,8.7726,8.7726,8.3967,0.3759,0,,"",,
65.481,8.7550,8.7550,8.4019,0.3531,0,,"",,
65.581,8.7373,8.7373,8.4069,0.3304,0,,"",,
65.682,8.7166,8.7166,8.4118,0.3048,0,,"",,
65.782,8.6871,8.6871,8.4164,0.2707,0,,"",,
65.882,8.6554,8.6554,8.4208,0.2346,0,,"",,
65.982,8.6335,8.6335,8.4250,0.2085,0,,"",,
66.082,8.6127,8.6127,8.4289,0.1838,0,,"",,
66.182,8.5942,8.5942,8.4327,0.1615,0,,"",,
66.282,8.5788,8.5788,8.4362,0.1426,0,,"",,
66.382,8.5652,8.5652,8.4394,0.1258,0,,"",,
66.483,8.5535,8.5535,8.4424,0.1111,0,,"",,
66.583,8.5383,8.5383,8.4452,0.0931,0,,"",,
66.683,8.5279,8.5279,8.4478,0.0801,0,,"",,
66.783,8.5305,8.5305,8.4501,0.0804,0,,"",,
66.883,8.5397,8.5397,8.4521,0.0876,0,,"",,
66.983,8.5525,8.5525,8.4539,0.0986,0,,"",,
67.083,8.5701,8.5701,8.4555,0.1146,0,,"",,
67.183,8.5877,8.5877,8.4568,0.1309,0,,"",,
67.284,8.6013,8.6013,8.4578,0.1435,0,,"",,
67.384,8.6049,8.6049,8.4586,0.1463,0,,"",,
67.484,8.6066,8.6066,8.4592,0.1474,0,,"",,
67.584,8.6148,8.6148,8.4595,0.1553,0,,"",,
67.684,8.6246,8.6246,8.4595,0.1651,0,,"",,
67.784,8.6394,8.6394,8.4592,0.1802,0,,"",,
67.884,8.6623,8.6623,8.4587,0.2036,0,,"",,
67.984,8.6879,8.6879,8.4579,0.2300,0,,"",,
68.085,8.7137,8.7137,8.4568,0.2569,0,,"",,
68.185,8.7306,8.7306,8.4554,0.2752,0,,"",,
68.285,8.7451,8.7451,8.4537,0.2914,0,,"",,
68.385,8.7603,8.7603,8.4517,0.3086,0,,"",,
68.485,8.7684,8.7684,8.4493,0.3191,0,,"",,
68.585,8.7730,8.7730,8.4467,0.3263,0,,"",,
68.685,8.7739,8.7739,8.4437,0.3302,0,,"",,
68.785,8.7697,8.7697,8.4404,0.3293,0,,"",,
68.886,8.7526,8.7526,8.4368,0.3158,0,,"",,
68.986,8.7281,8.7281,8.4328,0.2953,0,,"",,
69.086,8.7076,8.7076,8.4285,0.2791,0,,"",,
69.186,8.6897,8.6897,8.4239,0.2658,0,,"",,
69.286,8.6702,8.6702,8.4190,0.2512,0,,"",,
69.386,8.6528,8.6528,8.4138,0.2390,0,,"",,
69.486,8.6394,8.6394,8.4084,0.2310,0,,"",,
69.586,8.6221,8.6221,8.4028,0.2193,0,,"",,
69.687,8.5912,8.5912,8.3970,0.1942,0,,"",,
69.787,8.5565,8.5565,8.3911,0.1654,0,,"",,
69.887,8.5301,8.5301,8.3850,0.1451,0,,"",,
69.987,8.5112,8.5112,8.3788,0.1324,0,,"",,
70.087,8.4981,8.4981,8.3724,0.1257,0,,"",,
70.187,8.4960,8.4960,8.3659,0.1301,0,,"",,
70.287,8.5052,8.5052,8.3592,0.1460,0,,"",,
70.387,8.5232,8.5232,8.3524,0.1708,0,,"",,
70.488,8.5433,8.5433,8.3454,0.1979,0,,"",,
70.588,8.5769,8.5769,8.3382,0.2387,0,,"",,
70.688,8.6224,8.6224,8.3309,0.2915,0,,"",,
70.788,8.6679,8.6679,8.3233,0.3446,0,,"",,
70.888,8.7142,8.7142,8.3156,0.3986,0,,"",,
70.988,8.7527,8.7527,8.3078,0.4449,0,,"",,
71.088,8.7821,8.7821,8.2997,0.4824,0,,"",,
71.188,8.7920,8.7920,8.2915,0.5005,0,,"",,
71.289,8.7856,8.7856,8.2831,0.5025,1,0.3768,"",,
71.389,8.7754,8.7754,8.2746,0.5008,0,,"",,
71.489,8.7631,8.7631,8.2659,0.4972,0,,"",,
71.589,8.7476,8.7476,8.2570,0.4906,0,,"",,
71.689,8.7301,8.7301,8.2480,0.4821,0,,"",,
71.789,8.7091,8.7091,8.2389,0.4702,0,,"",,
71.889,8.6814,8.6814,8.2296,0.4518,0,,"",,
71.989,8.6452,8.6452,8.2202,0.4250,0,,"",,
72.090,8.6048,8.6048,8.2107,0.3941,0,,"",,
72.190,8.5724,8.5724,8.2011,0.3713,0,,"",,
72.290,8.5432,8.5432,8.1914,0.3518,0,,"",,
72.390,8.5171,8.5171,8.1817,0.3354,0,,"",,
72.490,8.4972,8.4972,8.1720,0.3252,0,,"",,
72.590,8.4818,8.4818,8.1622,0.3196,0,,"",,
72.690,8.4675,8.4675,8.1525,0.3150,0,,"",,
72.790,8.4518,8.4518,8.1427,0.3091,0,,"",,
72.891,8.4453,8.4453,8.1329,0.3124,0,,"",,
72.991,8.4546,8.4546,8.1232,0.3314,0,,"",,
73.091,8.4768,8.4768,8.1135,0.3633,0,,"",,
73.191,8.5134,8.5134,8.1038,0.4096,0,,"",,
73.291,8.5683,8.5683,8.0942,0.4741,0,,"",,
73.391,8.6379,8.6379,8.0847,0.5532,0,,"",,
73.491,8.7081,8.7081,8.0753,0.6328,0,,"",,
73.591,8.7733,8.7733,8.0659,0.7074,0,,"",,
73.692,8.8418,8.8418,8.0567,0.7851,0,,"",,
73.792,8.9083,8.9083,8.0476,0.8607,0,,"",,
73.892,8.9643,8.9643,8.0386,0.9257,0,,"",,
73.992,9.0029,9.0029,8.0297,0.9732,0,,"",,
74.092,9.0287,9.0287,8.0210,1.0077,0,,"",,
74.192,9.0355,9.0355,8.0125,1.0230,1,0.7139,"",,
74.292,9.0181,9.0181,8.0042,1.0139,0,,"",,
74.392,8.9887,8.9887,7.9960,0.9927,0,,"",,
74.493,8.9633,8.9633,7.9880,0.9753,0,,"",,
74.593,8.9330,8.9330,7.9802,0.9528,0,,"",,
74.693,8.8978,8.8978,7.9726,0.9252,0,,"",,
74.793,8.8608,8.8608,7.9652,0.8956,0,,"",,
74.893,8.8197,8.8197,7.9580,0.8617,0,,"",,
74.993,8.7773,8.7773,7.9511,0.8262,0,,"",,
75.093,8.7245,8.7245,7.9444,0.7801,0,,"",,
75.193,8.6722,8.6722,7.9378,0.7344,0,,"",,
75.294,8.6285,8.6285,7.9316,0.6969,0,,"",,
75.394,8.5906,8.5906,7.9255,0.6651,0,,"",,
75.494,8.5561,8.5561,7.9196,0.6365,0,,"",,
75.594,8.5258,8.5258,7.9140,0.6118,0,,"",,
75.694,8.4978,8.4978,7.9086,0.5892,0,,"",,
75.794,8.4653,8.4653,7.9034,0.5619,0,,"",,
75.894,8.4272,8.4272,7.8984,0.5288,0,,"",,
75.994,8.3992,8.3992,7.8935,0.5057,0,,"",,
76.095,8.3764,8.3764,7.8889,0.4875,0,,"",,
76.195,8.3553,8.3553,7.8845,0.4708,0,,"",,
76.295,8.3367,8.3367,7.8802,0.4565,0,,"",,
76.395,8.3198,8.3198,7.8761,0.4437,0,,"",,
76.495,8.3055,8.3055,7.8721,0.4334,0,,"",,
76.595,8.2849,8.2849,7.8683,0.4166,0,,"",,
76.695,8.2619,8.2619,7.8647,0.3972,0,,"",,
76.795,8.2450,8.2450,7.8611,0.3839,0,,"",,
76.896,8.2301,8.2301,7.8578,0.3723,0,,"",,
76.996,8.2177,8.2177,7.8545,0.3632,0,,"",,
77.096,8.2078,8.2078,7.8514,0.3564,0,,"",,
77.196,8.1986,8.1986,7.8483,0.3503,0,,"",,
77.296,8.1859,8.1859,7.8454,0.3405,0,,"",,
77.396,8.1661,8.1661,7.8426,0.3235,0,,"",,
77.496,8.1478,8.1478,7.8399,0.3079,0,,"",,
77.596,8.1349,8.1349,7.8373,0.2976,0,,"",,
77.697,8.1222,8.1222,7.8347,0.2875,0,,"",,
77.797,8.1104,8.1104,7.8323,0.2781,0,,"",,
77.897,8.1004,8.1004,7.8299,0.2705,0,,"",,
77.997,8.0911,8.0911,7.8276,0.2635,0,,"",,
78.097,8.0759,8.0759,7.8253,0.2506,0,,"",,
78.197,8.0564,8.0564,7.8231,0.2333,0,,"",,
78.297,8.0407,8.0407,7.8209,0.2198,0,,"",,
78.397,8.0283,8.0283,7.8188,0.2095,0,,"",,
78.498,8.0170,8.0170,7.8168,0.2002,0,,"",,
78.598,8.0071,8.0071,7.8148,0.1923,0,,"",,
78.698,7.9990,7.9990,7.8128,0.1862,0,,"",,
78.798,7.9889,7.9889,7.8108,0.1781,0,,"",,
78.898,7.9712,7.9712,7.8089,0.1623,0,,"",,
78.998,7.9551,7.9551,7.8069,0.1482,0,,"",,
79.098,7.9451,7.9451,7.8050,0.1401,0,,"",,
79.198,7.9372,7.9372,7.8031,0.1341,0,,"",,
79.299,7.9291,7.9291,7.8013,0.1278,0,,"",,
79.399,7.9201,7.9201,7.7994,0.1207,0,,"",,
79.499,7.9111,7.9111,7.7976,0.1135,0,,"",,
79.599,7.8959,7.8959,7.7958,0.1001,0,,"",,
79.699,7.8769,7.8769,7.7940,0.0829,0,,"",,
79.799,7.8647,7.8647,7.7922,0.0725,0,,"",,
79.899,7.8535,7.8535,7.7904,0.0631,0,,"",,
79.999,7.8444,7.8444,7.7887,0.0557,0,,"",,
80.100,7.8397,7.8397,7.7869,0.0528,0,,"",,
80.200,7.8357,7.8357,7.7852,0.0505,0,,"",,
80.300,7.8264,7.8264,7.7835,0.0429,0,,"",,
80.400,7.8103,7.8103,7.7818,0.0285,0,,"",,
80.500,7.7976,7.7976,7.7802,0.0174,0,,"",,
80.600,7.7892,7.7892,7.7785,0.0107,0,,"",,
80.700,7.7813,7.7813,7.7769,0.0044,0,,"",,
80.800,7.7753,7.7753,7.7753,0.0000,0,,"",,
80.900,7.7744,7.7744,7.7737,0.0007,0,,"",,
81.001,7.7765,7.7765,7.7721,0.0044,0,,"",,
81.101,7.7792,7.7792,7.7706,0.0086,0,,"",,
81.201,7.7929,7.7929,7.7690,0.0239,0,,"",,
81.301,7.8304,7.8304,7.7675,0.0629,0,,"",,
81.401,7.8904,7.8904,7.7660,0.1244,0,,"",,
81.501,7.9755,7.9755,7.7645,0.2110,0,,"",,
81.601,8.0831,8.0831,7.7631,0.3200,0,,"",,
81.701,8.2003,8.2003,7.7616,0.4387,0,,"",,
81.802,8.3046,8.3046,7.7602,0.5444,0,,"",,
81.902,8.3936,8.3936,7.7588,0.6348,0,,"",,
82.002,8.4716,8.4716,7.7574,0.7142,0,,"",,
82.102,8.5447,8.5447,7.7560,0.7887,0,,"",,
82.202,8.5976,8.5976,7.7546,0.8430,0,,"",,
82.302,8.6320,8.6320,7.7533,0.8787,0,,"",,
82.402,8.6525,8.6525,7.7520,0.9005,0,,"",,
82.502,8.6537,8.6537,7.7507,0.9030,1,0.9030,"",,
82.603,8.6344,8.6344,7.7495,0.8849,0,,"",,
82.703,8.6089,8.6089,7.7482,0.8607,0,,"",,
82.803,8.5822,8.5822,7.7470,0.8352,0,,"",,
82.903,8.5510,8.5510,7.7458,0.8052,0,,"",,
83.003,8.5229,8.5229,7.7447,0.7782,0,,"",,
83.103,8.4951,8.4951,7.7435,0.7516,0,,"",,
83.203,8.4664,8.4664,7.7425,0.7239,0,,"",,
83.303,8.4342,8.4342,7.7414,0.6928,0,,"",,
83.404,8.4080,8.4080,7.7405,0.6675,0,,"",,
83.504,8.3954,8.3954,7.7398,0.6556,0,,"",,
83.604,8.3879,8.3879,7.7392,0.6487,0,,"",,
83.704,8.3855,8.3855,7.7388,0.6467,0,,"",,
83.804,8.3869,8.3869,7.7386,0.6483,0,,"",,
83.904,8.3885,8.3885,7.7386,0.6499,0,,"",,
84.004,8.3827,8.3827,7.7387,0.6440,0,,"",,
84.104,8.3713,8.3713,7.7391,0.6322,0,,"",,
84.205,8.3625,8.3625,7.7396,0.6229,0,,"",,
84.305,8.3542,8.3542,7.7403,0.6139,0,,"",,
84.405,8.3468,8.3468,7.7412,0.6056,0,,"",,
84.505,8.3403,8.3403,7.7423,0.5980,0,,"",,
84.605,8.3321,8.3321,7.7435,0.5886,0,,"",,
84.705,8.3198,8.3198,7.7450,0.5748,0,,"",,
84.805,8.2997,8.2997,7.7467,0.5530,0,,"",,
84.905,8.2793,8.2793,7.7485,0.5308,0,,"",,
85.006,8.2671,8.2671,7.7505,0.5166,0,,"",,
85.106,8.2563,8.2563,7.7527,0.5036,0,,"",,
85.206,8.2465,8.2465,7.7552,0.4913,0,,"",,
85.306,8.2399,8.2399,7.7578,0.4821,0,,"",,
85.406,8.2345,8.2345,7.7606,0.4739,0,,"",,
85.506,8.2196,8.2196,7.7636,0.4560,0,,"",,
85.606,8.1985,8.1985,7.7668,0.4317,0,,"",,
85.706,8.1832,8.1832,7.7702,0.4130,0,,"",,
85.807,8.1717,8.1717,7.7738,0.3979,0,,"",,
85.907,8.1598,8.1598,7.7777,0.3821,0,,"",,
86.007,8.1496,8.1496,7.7817,0.3679,0,,"",,
86.107,8.1371,8.1371,7.7859,0.3512,0,,"",,
86.207,8.1192,8.1192,7.7903,0.3289,0,,"",,
86.307,8.0940,8.0940,7.7949,0.2991,0,,"",,
86.407,8.0707,8.0707,7.7998,0.2709,0,,"",,
86.507,8.0557,8.0557,7.8048,0.2509,0,,"",,
86.608,8.0443,8.0443,7.8100,0.2343,0,,"",,
86.708,8.0390,8.0390,7.8155,0.2235,0,,"",,
86.808,8.0445,8.0445,7.8212,0.2233,0,,"",,
86.908,8.0592,8.0592,7.8270,0.2322,0,,"",,
87.008,8.0731,8.0731,7.8331,0.2400,0,,"",,
87.108,8.0931,8.0931,7.8394,0.2537,0,,"",,
87.208,8.1272,8.1272,7.8459,0.2813,0,,"",,
87.308,8.1725,8.1725,7.8526,0.3199,0,,"",,
87.409,8.2269,8.2269,7.8594,0.3675,0,,"",,
87.509,8.2926,8.2926,7.8663,0.4263,0,,"",,
87.609,8.3659,8.3659,7.8731,0.4928,0,,"",,
87.709,8.4341,8.4341,7.8799,0.5542,0,,"",,
87.809,8.4945,8.4945,7.8866,0.6079,0,,"",,
87.909,8.5579,8.5579,7.8932,0.6647,0,,"",,
88.009,8.6091,8.6091,7.8997,0.7094,0,,"",,
88.109,8.6479,8.6479,7.9062,0.7417,0,,"",,
88.210,8.6742,8.6742,7.9125,0.7617,0,,"",,
88.310,8.6881,8.6881,7.9188,0.7693,1,0.5459,"",,
88.410,8.6860,8.6860,7.9250,0.7610,0,,"",,
88.510,8.6627,8.6627,7.9311,0.7316,0,,"",,
88.610,8.6305,8.6305,7.9372,0.6933,0,,"",,
88.710,8.6026,8.6026,7.9431,0.6595,0,,"",,
88.810,8.5720,8.5720,7.9490,0.6230,0,,"",,
88.910,8.5374,8.5374,7.9547,0.5827,0,,"",,
89.011,8.5052,8.5052,7.9604,0.5448,0,,"",,
89.111,8.4695,8.4695,7.9660,0.5035,0,,"",,
89.211,8.4251,8.4251,7.9715,0.4536,0,,"",,
